,shr_AA,shr_CAA,shr_mean_portfolio,shr_equal_weights_portfolio
0,0.000711246915766495,0.000929396282701337,0.0016883175129840421,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
5,-0.004327892741758325,-0.004412071039130997,0.0016883175129840421,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
10,-0.009449160943450498,-0.009771235713523656,0.0016883175129840421,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
15,-0.014535408855778384,-0.015091520827752648,0.0016883175129840421,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
20,-0.01957686256620495,-0.02042529192587351,0.0016883175129840421,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
25,-0.024523554600903094,-0.025801467664650093,0.0016883175129840421,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
30,-0.029082543795201466,-0.031065336737362892,0.0016883175129840421,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
35,-0.03557563666258836,-0.03855889517828618,-0.0003228030884871092,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
40,-0.04288011349634439,-0.04760521648690881,-0.0005404366943205504,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
45,-0.05030314218733084,-0.0560604579526662,-0.01053111524990126,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
50,-0.05531483579482362,-0.06011562560922538,-0.012028907680325286,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
55,-0.057999728469671795,-0.06160463571861489,-0.01747843109939322,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
60,-0.05929706104334633,-0.06055986394768697,-0.018092831658465033,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
65,-0.05991364739617564,-0.061144175515826724,-0.019511752367945914,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
70,-0.06001110648999574,-0.06086850747963887,-0.02168497600800859,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
75,-0.06025832620175701,-0.06079825450529697,-0.023236192251318562,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
80,-0.060766194180104635,-0.06100679591426725,-0.023088840968191377,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
85,-0.061259987273635394,-0.06113828383077185,-0.023673140750304408,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
90,-0.060024175123701666,-0.0596850554181583,-0.02651886475140001,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
95,-0.05922720746847444,-0.0586194018416816,-0.027380351563925875,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
100,-0.05871081728672481,-0.05785585711850742,-0.027380351563925875,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
105,-0.05653605805307713,-0.05556358832436056,-0.03378347176925913,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
110,-0.05463927754433621,-0.05354924544424891,-0.033226596823576204,"1        -5.980184e-05
2        -9.201338e-06
3        -6.901125e-06
4        -1.150203e-05
5         5.291050e-05
              ...     
524155    7.803293e-06
524156    2.299326e-17
524157   -3.671861e-06
524158   -1.835996e-06
524159   -2.340936e-05
Name: return_equal_weights, Length: 328894, dtype: float64"
